ID,Has_Description,Description,Description_WC,Vendor_Name,Vendor_Count,Product_Name,Product_Count,Version_Value,Version_Count,CPE_System_Type,CPE_System_Type_Count,CPE_Vendor_Name,CPE_Vendor_Name_Count,CPE_Product_Name,CPE_Product_Name_Count,CPE_Versions,CPE_Versions_Count,CPE_Update,CPE_Update_Count
CVE-2019-5737,True,"An attacker can cause a Denial of Service (DoS) by establishing an HTTP or HTTPS connection in keep-alive mode and by sending headers very slowly thereby keeping the connection and associated resources alive for a long period of time. Attack potential is mitigated by the use of a load balancer or other proxy layer. This vulnerability is an extension of CVE-2018-12121, addressed in November and impacts all active Node.js release lines including 6.x before 6.17.0, 8.x before 8.15.1, 10.x before 10.15.2, and 11.x before 11.10.1.",85,nodejs,0,node.js,0,"6.9.0,6.9.1,6.9.2,6.9.3,6.9.4,6.9.5,6.10.0,6.10.1,6.10.3,6.11.2,6.11.3,6.11.4,6.11.5,6.12.0,6.12.1,6.12.2,6.12.3,6.13.0,6.13.1,6.14.0,6.14.1,6.14.2,6.14.3,6.14.4,6.15.0,6.15.1,6.16.0,8.9.0,8.9.1,8.9.2,8.9.3,8.9.4,8.10.0,8.11.1,8.11.2,8.11.3,8.11.4,8.12.0,8.13.0,8.14.0,8.14.1,8.15.0,10.13.0,10.14.0,10.14.1,10.14.2,10.15.0,10.15.1",0,"{'o', 'a'}","[1, 4]","{'opensuse', 'nodejs'}","[1, 4]","{'node.js', 'leap'}","[4, 1]","{'*', '42.3'}","[4, 1]",{'*'},[5]
CVE-2019-5739,True,Keep-alive HTTP and HTTPS connections can remain open and inactive for up to 2 minutes in Node.js 6.16.0 and earlier. Node.js 8.0.0 introduced a dedicated server.keepAliveTimeout which defaults to 5 seconds. The behavior in Node.js 6.16.0 and earlier is a potential Denial of Service (DoS) attack vector. Node.js 6.17.0 introduces server.keepAliveTimeout and the 5-second default.,55,nodejs,0,node.js,0,6.16.0,0,"{'o', 'a'}","[1, 1]","{'opensuse', 'nodejs'}","[1, 1]","{'node.js', 'leap'}","[1, 1]","{'*', '42.3'}","[1, 1]",{'*'},[2]
CVE-2018-0734,True,The OpenSSL DSA signature algorithm has been shown to be vulnerable to a timing side channel attack. An attacker could use variations in the signing algorithm to recover the private key. Fixed in OpenSSL 1.1.1a (Affected 1.1.1). Fixed in OpenSSL 1.1.0j (Affected 1.1.0-1.1.0i). Fixed in OpenSSL 1.0.2q (Affected 1.0.2-1.0.2p).,49,netapp,0,cloud_backup,0,-,0,"{'h', 'o', 'a'}","[1, 6, 11]","{'debian', 'nodejs', 'netapp', 'canonical', 'openssl'}","[1, 4, 6, 4, 3]","{'ubuntu_linux', 'oncommand_unified_manager', 'debian_linux', 'santricity_smi-s_provider', 'cn1610', 'cloud_backup', 'steelstore', 'openssl', 'node.js', 'cn1610_firmware'}","[4, 1, 1, 1, 1, 1, 1, 3, 4, 1]","{'*', '14.04', '16.04', '1.1.1', '-', '18.04', '18.10', '9.0'}","[7, 1, 1, 1, 5, 1, 1, 1]",{'*'},[18]
CVE-2018-0735,True,The OpenSSL ECDSA signature algorithm has been shown to be vulnerable to a timing side channel attack. An attacker could use variations in the signing algorithm to recover the private key. Fixed in OpenSSL 1.1.0j (Affected 1.1.0-1.1.0i). Fixed in OpenSSL 1.1.1a (Affected 1.1.1).,43,netapp,0,cloud_backup,0,-,0,"{'h', 'o', 'a'}","[1, 7, 8]","{'debian', 'nodejs', 'netapp', 'canonical', 'openssl'}","[2, 2, 6, 4, 2]","{'ubuntu_linux', 'oncommand_unified_manager', 'debian_linux', 'santricity_smi-s_provider', 'cn1610', 'cloud_backup', 'steelstore', 'openssl', 'node.js', 'cn1610_firmware'}","[4, 1, 2, 1, 1, 1, 1, 2, 2, 1]","{'*', '14.04', '8.0', '16.04', '1.1.1', '-', '18.04', '18.10', '9.0'}","[4, 1, 1, 1, 1, 5, 1, 1, 1]",{'*'},[16]
CVE-2018-1000168,True,nghttp2 version >= 1.10.0 and nghttp2 <= v1.31.0 contains an Improper Input Validation CWE-20 vulnerability in ALTSVC frame handling that can result in segmentation fault leading to denial of service. This attack appears to be exploitable via network client. This vulnerability appears to have been fixed in >= 1.31.1.,49,nghttp2,2,nghttp2,2,"1.10.0,1.11.0,1.11.1,1.12.0,1.13.0,1.14.0,1.14.1,1.15.0,1.16.0,1.16.1,1.17.0,1.18.0,1.18.1,1.19.0,1.20.0,1.21.0,1.21.1,1.22.0,1.23.0,1.23.1,1.24.0,1.25.0,1.26.0,1.27.0,1.28.0,1.29.0,1.30.0,1.31.0",0,{'a'},[4],"{'nghttp2', 'nodejs'}","[1, 3]","{'nghttp2', 'node.js'}","[1, 3]",{'*'},[4],{'*'},[4]
CVE-2018-12115,True,"In all versions of Node.js prior to 6.14.4, 8.11.4 and 10.9.0 when used with UCS-2 encoding (recognized by Node.js under the names `'ucs2'`, `'ucs-2'`, `'utf16le'` and `'utf-16le'`), `Buffer#write()` can be abused to write outside of the bounds of a single `Buffer`. Writes that start from the second-to-last position of a buffer cause a miscalculation of the maximum length of the input bytes to be written.",65,nodejs,0,node.js,0,"0.0.1,0.0.2,0.0.3,0.0.4,0.0.5,0.0.6,0.1.0,0.1.1,0.1.2,0.1.3,0.1.4,0.1.5,0.1.6,0.1.7,0.1.8,0.1.9,0.1.10,0.1.11,0.1.12,0.1.13,0.1.14,0.1.15,0.1.16,0.1.17,0.1.18,0.1.19,0.1.20,0.1.21,0.1.22,0.1.23,0.1.24,0.1.25,0.1.26,0.1.27,0.1.28,0.1.29,0.1.30,0.1.31,0.1.32,0.1.33,0.1.90,0.1.91,0.1.92,0.1.93,0.1.94,0.1.95,0.1.96,0.1.97,0.1.98,0.1.99,0.1.100,0.1.101,0.1.102,0.1.103,0.1.104,0.2.0,0.2.1,0.2.2,0.2.3,0.2.4,0.2.5,0.2.6,0.3.0,0.3.1,0.3.2,0.3.3,0.3.4,0.3.5,0.3.6,0.3.7,0.3.8,0.4.0,0.4.1,0.4.2,0.4.3,0.4.4,0.4.5,0.4.6,0.4.7,0.4.8,0.4.9,0.4.10,0.4.11,0.4.12,0.5.0,0.5.1,0.5.2,0.5.3,0.5.4,0.5.5,0.5.6,0.5.7,0.5.8,0.5.9,0.5.10,0.6.0,0.6.1,0.6.2,0.6.3,0.6.4,0.6.5,0.6.6,0.6.7,0.6.8,0.6.9,0.6.10,0.6.11,0.6.12,0.6.13,0.6.14,0.6.15,0.6.16,0.6.17,0.6.18,0.6.19,0.6.20,0.6.21,0.7.0,0.7.1,0.7.2,0.7.3,0.7.4,0.7.5,0.7.6,0.7.7,0.7.8,0.7.9,0.7.10,0.7.11,0.7.12,0.8.0,0.8.1,0.8.2,0.8.3,0.8.4,0.8.5,0.8.6,0.8.7,0.8.8,0.8.9,0.8.10,0.8.11,0.8.12,0.8.13,0.8.14,0.8.15,0.8.16,0.8.17,0.8.18,0.8.19,0.8.20,0.8.21,0.8.22,0.8.23,0.8.24,0.8.25,0.8.26,0.8.27,0.8.28,0.9.0,0.9.1,0.9.2,0.9.3,0.9.4,0.9.5,0.9.6,0.9.7,0.9.8,0.9.9,0.9.10,0.9.11,0.9.12,0.10.0,0.10.1,0.10.2,0.10.3,0.10.4,0.10.5,0.10.6,0.10.7,0.10.8,0.10.9,0.10.10,0.10.11,0.10.12,0.10.13,0.10.14,0.10.15,0.10.16,0.10.16-isaacs-manual,0.10.17,0.10.18,0.10.19,0.10.20,0.10.21,0.10.22,0.10.23,0.10.24,0.10.25,0.10.26,0.10.27,0.10.28,0.10.29,0.10.30,0.10.31,0.10.32,0.10.33,0.10.34,0.10.35,0.10.36,0.10.37,0.10.38,0.10.39,0.10.40,0.10.41,0.10.42,0.10.43,0.10.44,0.10.45,0.10.46,0.10.47,0.10.48,0.11.0,0.11.1,0.11.2,0.11.3,0.11.4,0.11.5,0.11.6,0.11.7,0.11.8,0.11.9,0.11.10,0.11.11,0.11.12,0.11.13,0.11.14,0.11.15,0.11.16,0.12.0,0.12.1,0.12.2,0.12.3,0.12.4,0.12.5,0.12.6,0.12.7,0.12.8,0.12.9,0.12.10,0.12.11,0.12.12,0.12.13,0.12.14,0.12.15,0.12.16,0.12.17,0.12.18,1.0.0,1.0.1,1.0.2,1.0.3,1.0.4,1.1.0,1.2.0,1.3.0,1.4.1,1.4.2,1.4.3,1.5.0,1.5.1,1.6.0,1.6.1,1.6.2,1.6.3,1.6.4,1.7.0,1.7.1,1.8.1,1.8.2,1.8.3,1.8.4,2.0.0,2.0.1,2.0.2,2.1.0,2.2.0,2.2.1,2.3.0,2.3.1,2.3.2,2.3.3,2.3.4,2.4.0,2.5.0,3.0.0,3.1.0,3.2.0,3.3.0,3.3.1,4.0.0,4.1.0,4.1.1,4.1.2,4.2.0,4.2.1,4.2.2,4.2.3,4.2.4,4.2.5,4.2.6,4.3.0,4.3.1,4.3.2,4.4.0,4.4.1,4.4.2,4.4.3,4.4.4,4.4.5,4.4.6,4.4.7,4.5.0,4.6.0,4.6.1,4.6.2,4.7.0,4.7.1,4.7.2,4.7.3,4.8.0,4.8.1,4.8.2,4.8.3,4.8.4,4.8.5,4.8.6,4.8.7,4.9.0,4.9.1,5.0.0,5.1.0,5.1.1,5.2.0,5.3.0,5.4.0,5.4.1,5.5.0,5.6.0,5.7.0,5.7.1,5.8.0,5.9.0,5.9.1,5.10.0,5.10.1,5.11.0,5.11.1,5.12.0,6.0.0,6.1.0,6.2.0,6.2.1,6.2.2,6.3.0,6.3.1,6.4.0,6.5.0,6.6.0,6.7.0,6.8.0,6.8.1,6.9.0,6.9.1,6.9.2,6.9.3,6.9.4,6.9.5,6.10.0,6.10.1,6.10.2,6.10.3,6.11.0,6.11.1,6.11.2,6.11.3,6.11.4,6.11.5,6.12.0,6.12.1,6.12.2,6.12.3,6.13.0,6.13.1,6.14.0,6.14.1,6.14.2,6.14.3,8.0.0,8.1.0,8.1.1,8.1.2,8.1.3,8.1.4,8.2.0,8.2.1,8.3.0,8.4.0,8.5.0,8.6.0,8.7.0,8.8.0,8.8.1,8.9.0,8.9.1,8.9.2,8.9.3,8.9.4,8.10.0,8.11.0,8.11.1,8.11.2,8.11.3,10.0.0,10.1.0,10.2.0,10.2.1,10.3.0,10.4.0,10.4.1,10.5.0,10.6.0,10.7.0,10.8.0",0,{'a'},[4],"{'redhat', 'nodejs'}","[1, 3]","{'node.js', 'openshift_container_platform'}","[3, 1]","{'*', '3.11'}","[3, 1]",{'*'},[4]
CVE-2018-12116,True,"Node.js: All versions prior to Node.js 6.15.0 and 8.14.0: HTTP request splitting: If Node.js can be convinced to use unsanitized user-provided Unicode data for the `path` option of an HTTP request, then data can be provided which will trigger a second, unexpected, and user-defined HTTP request to made to the same server.",52,nodejs,0,node.js,0,"6.0.0,6.1.0,6.2.0,6.2.1,6.2.2,6.3.0,6.3.1,6.4.0,6.5.0,6.6.0,6.7.0,6.8.0,6.8.1,6.9.0,6.9.1,6.9.2,6.9.3,6.9.4,6.9.5,6.10.0,6.10.1,6.10.2,6.10.3,6.11.0,6.11.1,6.11.2,6.11.3,6.11.4,6.11.5,6.12.0,6.12.1,6.12.2,6.12.3,6.13.0,6.13.1,6.14.0,6.14.1,6.14.2,6.14.3,6.14.4,6.15.0,8.0.0,8.1.0,8.1.1,8.1.2,8.1.3,8.1.4,8.2.0,8.2.1,8.3.0,8.4.0,8.5.0,8.6.0,8.7.0,8.8.0,8.8.1,8.9.0,8.9.1,8.9.2,8.9.3,8.9.4,8.10.0,8.11.0,8.11.1,8.11.2,8.11.3,8.11.4,8.12.0,8.13.0,8.14.0,10.0.0,10.1.0,10.2.0,10.2.1,10.3.0,10.4.0,10.4.1,10.5.0,10.6.0,10.7.0,10.8.0,10.9.0,10.10.0,10.11.0,10.12.0,10.13.0,10.14.0",0,"{'o', 'a'}","[4, 5]","{'suse', 'joyent', 'nodejs'}","[5, 1, 3]","{'suse_linux_enterprise_server', 'node.js', 'suse_enterprise_storage', 'suse_openstack_cloud'}","[2, 4, 1, 2]","{'*', '8', '4', '15', '12', '7'}","[4, 1, 1, 1, 1, 1]",{'*'},[9]
CVE-2018-12120,True,"Node.js: All versions prior to Node.js 6.15.0: Debugger port 5858 listens on any interface by default: When the debugger is enabled with `node --debug` or `node debug`, it listens to port 5858 on all interfaces by default. This may allow remote computers to attach to the debug port and evaluate arbitrary JavaScript. The default interface is now localhost. It has always been possible to start the debugger on a specific interface, such as `node --debug=localhost`. The debugger was removed in Node.js 8 and replaced with the inspector, so no versions from 8 and later are vulnerable.",96,nodejs,0,node.js,0,"6.0.0,6.1.0,6.2.0,6.2.1,6.2.2,6.3.0,6.3.1,6.4.0,6.5.0,6.6.0,6.7.0,6.8.0,6.8.1,6.9.0,6.9.1,6.9.2,6.9.3,6.9.4,6.9.5,6.10.0,6.10.1,6.10.2,6.10.3,6.11.0,6.11.1,6.11.2,6.11.3,6.11.4,6.11.5,6.12.0,6.12.1,6.12.2,6.12.3,6.13.0,6.13.1,6.14.0,6.14.1,6.14.2,6.14.3,6.14.4,6.15.0",0,{'a'},[1],{'nodejs'},[1],{'node.js'},[1],{'*'},[1],{'*'},[1]
CVE-2018-12121,True,"Node.js: All versions prior to Node.js 6.15.0, 8.14.0, 10.14.0 and 11.3.0: Denial of Service with large HTTP headers: By using a combination of many requests with maximum sized headers (almost 80 KB per connection), and carefully timed completion of the headers, it is possible to cause the HTTP server to abort from heap allocation failure. Attack potential is mitigated by the use of a load balancer or other proxy layer.",70,nodejs,0,node.js,0,"6.0.0,6.1.0,6.2.0,6.2.1,6.2.2,6.3.0,6.3.1,6.4.0,6.5.0,6.6.0,6.7.0,6.8.0,6.8.1,6.9.0,6.9.1,6.9.2,6.9.3,6.9.4,6.9.5,6.10.0,6.10.1,6.10.2,6.10.3,6.11.0,6.11.1,6.11.2,6.11.3,6.11.4,6.11.5,6.12.0,6.12.1,6.12.2,6.12.3,6.13.0,6.13.1,6.14.0,6.14.1,6.14.2,6.14.3,6.14.4,6.15.0,8.0.0,8.1.0,8.1.1,8.1.2,8.1.3,8.1.4,8.2.0,8.2.1,8.3.0,8.4.0,8.5.0,8.6.0,8.7.0,8.8.0,8.8.1,8.9.0,8.9.1,8.9.2,8.9.3,8.9.4,8.10.0,8.11.0,8.11.1,8.11.2,8.11.3,8.11.4,8.12.0,8.13.0,8.14.0,10.0.0,10.1.0,10.2.0,10.2.1,10.3.0,10.4.0,10.4.1,10.5.0,10.6.0,10.7.0,10.8.0,10.9.0,10.10.0,10.11.0,10.12.0,10.13.0,10.14.0",0,{'a'},[4],"{'joyent', 'nodejs'}","[1, 3]",{'node.js'},[4],{'*'},[4],{'*'},[4]
CVE-2018-12122,True,"Node.js: All versions prior to Node.js 6.15.0, 8.14.0, 10.14.0 and 11.3.0: Slowloris HTTP Denial of Service: An attacker can cause a Denial of Service (DoS) by sending headers very slowly keeping HTTP or HTTPS connections and associated resources alive for a long period of time.",45,nodejs,0,node.js,0,"6.0.0,6.1.0,6.2.0,6.2.1,6.2.2,6.3.0,6.3.1,6.4.0,6.5.0,6.6.0,6.7.0,6.8.0,6.8.1,6.9.0,6.9.1,6.9.2,6.9.3,6.9.4,6.9.5,6.10.0,6.10.1,6.10.2,6.10.3,6.11.0,6.11.1,6.11.2,6.11.3,6.11.4,6.11.5,6.12.0,6.12.1,6.12.2,6.12.3,6.13.0,6.13.1,6.14.0,6.14.1,6.14.2,6.14.3,6.14.4,6.15.0,8.0.0,8.1.0,8.1.1,8.1.2,8.1.3,8.1.4,8.2.0,8.2.1,8.3.0,8.4.0,8.5.0,8.6.0,8.7.0,8.8.0,8.8.1,8.9.0,8.9.1,8.9.2,8.9.3,8.9.4,8.10.0,8.11.0,8.11.1,8.11.2,8.11.3,8.11.4,8.12.0,8.13.0,8.14.0,10.0.0,10.1.0,10.2.0,10.2.1,10.3.0,10.4.0,10.4.1,10.5.0,10.6.0,10.7.0,10.8.0,10.9.0,10.10.0,10.11.0,10.12.0,10.13.0,10.14.0",0,"{'o', 'a'}","[4, 5]","{'suse', 'joyent', 'nodejs'}","[5, 1, 3]","{'suse_linux_enterprise_server', 'node.js', 'suse_enterprise_storage', 'suse_openstack_cloud'}","[2, 4, 1, 2]","{'*', '8', '4', '15', '12', '7'}","[4, 1, 1, 1, 1, 1]",{'*'},[9]
CVE-2018-12123,True,"Node.js: All versions prior to Node.js 6.15.0, 8.14.0, 10.14.0 and 11.3.0: Hostname spoofing in URL parser for javascript protocol: If a Node.js application is using url.parse() to determine the URL hostname, that hostname can be spoofed by using a mixed case ""javascript:"" (e.g. ""javAscript:"") protocol (other protocols are not affected). If security decisions are made about the URL based on the hostname, they may be incorrect.",66,nodejs,0,node.js,0,"6.0.0,6.1.0,6.2.0,6.2.1,6.2.2,6.3.0,6.3.1,6.4.0,6.5.0,6.6.0,6.7.0,6.8.0,6.8.1,6.9.0,6.9.1,6.9.2,6.9.3,6.9.4,6.9.5,6.10.0,6.10.1,6.10.2,6.10.3,6.11.0,6.11.1,6.11.2,6.11.3,6.11.4,6.11.5,6.12.0,6.12.1,6.12.2,6.12.3,6.13.0,6.13.1,6.14.0,6.14.1,6.14.2,6.14.3,6.14.4,6.15.0,8.0.0,8.1.0,8.1.1,8.1.2,8.1.3,8.1.4,8.2.0,8.2.1,8.3.0,8.4.0,8.5.0,8.6.0,8.7.0,8.8.0,8.8.1,8.9.0,8.9.1,8.9.2,8.9.3,8.9.4,8.10.0,8.11.0,8.11.1,8.11.2,8.11.3,8.11.4,8.12.0,8.13.0,8.14.0,10.0.0,10.1.0,10.2.0,10.2.1,10.3.0,10.4.0,10.4.1,10.5.0,10.6.0,10.7.0,10.8.0,10.9.0,10.10.0,10.11.0,10.12.0,10.13.0,10.14.0,11.0.0,11.1.0,11.2.0,11.3.0",0,{'a'},[4],{'nodejs'},[4],{'node.js'},[4],{'*'},[4],{'*'},[4]
